SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,SQ18,SQ19,SQ20,SQ21,SQ22,SQ23,SQ24,SQ25,SQ26,SQ27,SQ28,SQ29,SQ30,SQ31,SQ32,SQ33,SQ34,SQ35,SQ36,SQ37,SQ38,SQ39,SQ40,SQ41,SQ42,SQ43,SQ44,SQ45,SQ46,SQ47,SQ48,SQ49,SQ50,SQ51,SQ52,SQ53,SQ54,SQ55,SQ56,SQ57,SQ58,SQ59,SQ60,SQ61,SQ62,SQ63,SQ64,SQ65,SQ66,SQ67,SQ68
Facebook Digital Ads,2022-07-22 13:24:53 UTC,Genderqueer/ Nonbinary,Hispanic or Latino,60007 (Elk Grove Village),,60007,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Chief Technical Officer (CTO),,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Representation of people in my gender, Management support",Intermediate level - 5-10 years,Strongly Agree,Every 3 years,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A raise,No,41-50,Strongly Agree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Coverage for emergencies",We all work in-person,,,,,,,,,,,,,,,,,,,Yes,Facebook or Instagram,five,62daa525bb75231dd83a2915,,,,,,mobile
LinkedIn Digital Ads,2022-06-16 22:09:49 UTC,Genderqueer/ Nonbinary,White or Caucasian,60616 (Chicago),,60616,,Work full-time,None of the above,"High school or below, Academy or Bootcamp",No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Compensation",Intermediate level - 5-10 years,Agree,Every 3 years,Yes,Yes,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Agree,Agree,Neutral / Neither agree nor disagree,Agree,A raise,No,41-50,Disagree,"Diverse options for PPO plans, Comprehensive plan options spanning vision, dental, and overall healthcare, Low deductibles",We all work remotely.,No,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62abaa2dc1abfe123371cd1b,,,,,,desktop
Out In Tech Chicago,2022-07-21 21:19:40 UTC,Genderqueer/ Nonbinary,White or Caucasian,60640 (Chicago),,60640,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Post-graduate degree (Master’s degree or equivalent), Academy or Bootcamp",No,Data Analyst,,,I plan to exit this role in 12 months or less,,,,,,,"Compensation, Management support",Entry-level - 1-3 years,Agree,I have not been promoted.,Yes,No,Neutral / Neither agree nor disagree,Disagree,Neutral / Neither agree nor disagree,Agree,Agree,Neutral / Neither agree nor disagree,A raise,No,51-60,Neutral / Neither agree nor disagree,"Having 100% of my plan covered by my employer each month, Coverage for emergencies, Comprehensive plan options spanning vision, dental, and overall healthcare",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,"Shared on the ""Out in Tech"" slack channel",five,62d9c2ecf8c2cb1cf82e9000,,,,,,desktop
Out In Tech Chicago,2022-07-27 15:11:12 UTC,Genderqueer/ Nonbinary,Black or African American,60649 (Chicago),,60649,,Work full-time,None of the above,"Academy or Bootcamp, High school or below",No,Other,No,Yes,,,,,This was a natural progression (i.e. promotion),,,"Advancement in your role, Representation of people in my race, Representation of people in my gender, Compensation",Entry-level - 1-3 years,Disagree,I have not been promoted.,Yes,No,Agree,Neutral / Neither agree nor disagree,Agree,Strongly Agree,Disagree,Neutral / Neither agree nor disagree,Switching from one company to another,No,41-50,Neutral / Neither agree nor disagree,That I have insurance at all,We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,Word of Mouth,five,62e155906721bc5d5840ab95,,,,,,desktop
GET Cities Chicago,2022-05-13 16:24:46 UTC,Genderqueer/ Nonbinary,Black or African American,60630 (Chicago),,60630,,Work full-time,None of the above,"Academy or Bootcamp, Self-taught, Taught on the job, Vocational training / Certificate program, High school or below",No,Computer support specialist,,,I plan to exit this role in 12 months or less,,,,,,,"Compensation, Representation of people in my race, Representation of people in my gender, Inclusion at your workplace, Advancement in your role, Management support",Intermediate level - 5-10 years,Neutral / Neither agree nor disagree,I have not been promoted.,No,No,Neutral / Neither agree nor disagree,Strongly Agree,Agree,Agree,Neutral / Neither agree nor disagree,Agree,Switching from one company to another,No,41-50,Agree,"Having 100% of my plan covered by my employer each month, Comprehensive plan options spanning vision, dental, and overall healthcare, Coverage for emergencies",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,GET Cities,five,627e864e30ae805f6305a4d6,,,,,,mobile
GET Cities Chicago,2022-05-13 18:47:12 UTC,Genderqueer/ Nonbinary,White or Caucasian,60640 (Chicago),,60640,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below",No,Senior User Experience Designer,,,I plan to exit this role in 12 months or less,,,,,,,"Compensation, Representation of people in my race, Representation of people in my gender, Inclusion at your workplace, Management support",Intermediate level - 5-10 years,Agree,I have not been promoted.,Yes,Yes,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,A raise,No,0-10,Agree,"Low deductibles, Low Copays and prescription costs, Coverage for emergencies",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,GET Cities,five,627ea7b04104981f474b37ae,,,,,,desktop
GET Cities Chicago,2022-05-18 02:41:59 UTC,Genderqueer/ Nonbinary,Black or African American,60545 (Plano),,60545,,Work full-time,I am a parent or caretaker of children.,4-year University or College degree (Bachelor’s degree or equivalent),No,Product Designer,,,I plan to exit technology in 12 months or less,"Management support, Compensation",Grievance process to change things about your work environment,Yes,,,,,Intermediate level - 5-10 years,Agree,Every 3 years,Yes,Yes,Neutral / Neither agree nor disagree,Agree,Agree,Agree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,A promotion,No,31-40,Disagree,"Low Copays and prescription costs, Coverage for emergencies",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62845cf7e38bb32f7c4afc03,,,,,,desktop
GET Cities Chicago,2022-05-27 21:46:54 UTC,Genderqueer/ Nonbinary,White or Caucasian,60047 (Lake Zurich),,60047,,Work full-time,I am a caretaker of adults.,4-year University or College degree (Bachelor’s degree or equivalent),No,Visual Designer,,,"A year from now, I plan to stay in this role",,,,,,,"Representation of people in my gender, Management support, Compensation, Inclusion at your workplace",Intermediate level - 5-10 years,Strongly Agree,I have not been promoted.,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A bonus,No,41-50,Strongly Agree,Low deductibles,We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,GET Cities,five,629146cec34eb6709f5ef2e3,,,,,,mobile
GET Cities Chicago,2022-06-06 16:57:57 UTC,Genderqueer/ Nonbinary,Hispanic or Latino,60804 (Cicero),,60804,,Work freelance/Independent contractor/Consultant,I am a parent or caretaker of children.,"Academy or Bootcamp, Self-taught, High school or below",No,Graphic Designer,,,"A year from now, I plan to stay in this role",,,,,,,Advancement in your role,Mid-career - 11-20 years,Strongly Agree,I have not been promoted.,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A bonus,No,31-40,Neutral / Neither agree nor disagree,Dependent coverage,We all work remotely.,No,,,,,,,,,,,,,,,,,,No,GET Cities,five,629e32156415796d354d0059,,,,,,mobile
GET Cities Chicago,2022-06-10 15:52:55 UTC,Genderqueer/ Nonbinary,Prefer not to reply,60068 (Park Ridge),,60068,,Work full-time,I am a parent or caretaker of children.,"4-year University or College degree (Bachelor’s degree or equivalent), Advanced post-graduate degree (e.g., Ph.D., law degree, medical degree)",No,Computer & Information Research Scientist,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Compensation",Mid-career - 11-20 years,Strongly Agree,Every 2 years,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Neutral / Neither agree nor disagree,Strongly Agree,Agree,A raise,No,41-50,Strongly Agree,"Low Copays and prescription costs, Diverse options for PPO plans",We all work in-person,,,,,,,,,,,,,,,,,,,Yes,GET Cities,five,62a368d6b23c3b25fa437f95,,,,,,mobile
GET Cities Chicago,2022-07-27 09:06:18 UTC,Genderqueer/ Nonbinary,Multiracial or Biracial,60007 (Elk Grove Village),,60007,,Work full-time,I am a parent or caretaker of children.,4-year University or College degree (Bachelor’s degree or equivalent),No,Computer scientist,,,"A year from now, I plan to stay in this role",,,,,,,"Inclusion at your workplace, Equitable opportunities for parents",Entry-level - 1-3 years,Neutral / Neither agree nor disagree,I have not been promoted.,Yes,No,Neutral / Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,A bonus,I don't know.,41-50,Strongly Agree,"Dependent coverage, Coverage for emergencies, Diverse options for PPO plans",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,GET Cities,five,62e1000a4c40c87fc806b17a,,,,,,mobile
GET Cities Chicago,2022-08-06 17:59:28 UTC,Genderqueer/ Nonbinary,White or Caucasian,60002 (Antioch),,60002,,Work freelance/Independent contractor/Consultant,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Self-taught, Academy or Bootcamp, High school or below",No,Graphic Designer,,,I plan to exit this role in 12 months or less,,,,,,,Advancement in your role,Intermediate level - 5-10 years,Strongly Agree,I have not been promoted.,No,No,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Switching from one company to another,No,31-40,Agree,Coverage for emergencies,We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,No,GET Cities,five,62eeac000c32ebaef809c5d4,,,,,,mobile
GET Cities Chicago,2022-08-12 18:20:58 UTC,Genderqueer/ Nonbinary,White or Caucasian,60044 (Lake Bluff),,60044,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below, Self-taught",No,IT Project Manager,,,I plan to exit this role in 12 months or less,,,,,,,Advancement in your role,Intermediate level - 5-10 years,Disagree,I have not been promoted.,No,Yes,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Switching from one company to another,No,41-50,Agree,Having 100% of my plan covered by my employer each month,We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62f69a0a49331db67f0a5113,,,,,,mobile
GET Cities Chicago,2022-08-17 15:32:43 UTC,Genderqueer/ Nonbinary,White or Caucasian,60088 (North Chicago),,60088,,Work full-time,None of the above,"High school or below, 4-year University or College degree (Bachelor’s degree or equivalent), Academy or Bootcamp",No,Software Developer,,,I plan to exit this role in 12 months or less,,,,,,,Advancement in your role,Intermediate level - 5-10 years,Strongly Agree,Every year,Yes,Yes,Neutral / Neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly Agree,A promotion,No,41-50,Strongly Disagree,"Low deductibles, Coverage for emergencies, Coverage for people living with disabilities",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62fd0a1bc70c2237190cd4eb,,,,,,mobile
UserTesting,2022-04-29 04:00:42 UTC,Genderqueer/ Nonbinary,White or Caucasian,60005 (Arlington Heights),,60005,,Work part-time,I am a caretaker of adults.,Post-graduate degree (Master’s degree or equivalent),No,Data Analyst,,,"A year from now, I plan to stay in this role",,,,,,,"Inclusion at your workplace, Management support, Compensation, Advancement in your role",Entry-level - 1-3 years,Agree,I have not been promoted.,Yes,Yes,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,A bonus,No,31-40,Agree,"Having 100% of my plan covered by my employer each month, Low Copays and prescription costs, That I have insurance at all",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,Useretesting.com,five,626b62eaff34f4166a630121,,,,,,desktop
